"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","443","Delete a book with negative ID","","Wed Aug 20 14:01:44 UTC 2025","failed","Wed Aug 20 14:01:45 UTC 2025","","bookstore.authors.DeleteAuthorTests","bookstore.authors.DeleteAuthorTests","deleteBookWithNegativeId"
"","461","Create a new book with valid data","","Wed Aug 20 14:01:27 UTC 2025","failed","Wed Aug 20 14:01:28 UTC 2025","","bookstore.books.PostBookTests","bookstore.books.PostBookTests","createNewBook"
"","448","Test getting an author by bookID with null value","","Wed Aug 20 14:01:42 UTC 2025","passed","Wed Aug 20 14:01:42 UTC 2025","","bookstore.authors.GetAuthorTests","bookstore.authors.GetAuthorTests","getAuthorByBookIdWithNullValue"
"","2902","Update a book with empty title","","Wed Aug 20 14:01:10 UTC 2025","failed","Wed Aug 20 14:01:13 UTC 2025","","bookstore.books.PutBookTests","bookstore.books.PutBookTests","updateBookWithoutTitle"
"","891","Create a new author with minimum integer ID","","Wed Aug 20 14:01:58 UTC 2025","passed","Wed Aug 20 14:01:59 UTC 2025","","bookstore.authors.PostAuthorTests","bookstore.authors.PostAuthorTests","createAuthorWithMinIntegerId"
"","855","Update an author with empty book id","","Wed Aug 20 14:01:55 UTC 2025","failed","Wed Aug 20 14:01:56 UTC 2025","","bookstore.authors.PutAuthorTests","bookstore.authors.PutAuthorTests","updateAuthorWithEmptyBookId"
"","434","Create a new book without title","","Wed Aug 20 14:01:28 UTC 2025","failed","Wed Aug 20 14:01:28 UTC 2025","","bookstore.books.PostBookTests","bookstore.books.PostBookTests","createBookWithoutTitle"
"","449","Create a new book with invalid date","","Wed Aug 20 14:01:26 UTC 2025","passed","Wed Aug 20 14:01:26 UTC 2025","","bookstore.books.PostBookTests","bookstore.books.PostBookTests","createBookWithInvalidDate"
"","448","Create a new book without excerpt","","Wed Aug 20 14:01:26 UTC 2025","failed","Wed Aug 20 14:01:27 UTC 2025","","bookstore.books.PostBookTests","bookstore.books.PostBookTests","createBookWithoutExcerpt"
"","447","Test getting a book using a negative ID","","Wed Aug 20 14:01:29 UTC 2025","passed","Wed Aug 20 14:01:30 UTC 2025","","bookstore.books.GetBookTests","bookstore.books.GetBookTests","getBookByNegativeId"
"","445","Test getting a book by id that is above the maxID","","Wed Aug 20 14:01:30 UTC 2025","passed","Wed Aug 20 14:01:31 UTC 2025","","bookstore.books.GetBookTests","bookstore.books.GetBookTests","getBookByIdAboveMaxId"
"","442","Create a new book with null as page number","","Wed Aug 20 14:01:25 UTC 2025","passed","Wed Aug 20 14:01:26 UTC 2025","","bookstore.books.PostBookTests","bookstore.books.PostBookTests","createBookWithNullPageNumber"
"","449","Delete a book with special sign ID","","Wed Aug 20 14:01:23 UTC 2025","passed","Wed Aug 20 14:01:24 UTC 2025","","bookstore.books.DeleteBookTests","bookstore.books.DeleteBookTests","deleteBookWithSpecialSignId"
